,player,pos,year,bodyfat%,hand_len_in,hand_width_in,height_wo_shoes,height_w_shoes,standing_reach,weight_lbs,wingspan,lane_agility_s,shuttle_run_s,three_q_sprint_s,standing_vert_in,max_vert_in,max_bench_reps
856,Kim English,SG,2012-13,4.3,8.5,8.75,76.5,77.75,98.0,192.0,78.5,10.59,,3.33,29.0,36.5,
857,Festus Ezeli,C-PF,2012-13,5.5,9.0,10.75,81.75,83.5,108.0,264.2,89.75,12.35,,3.29,34.0,33.5,18.0
858,Drew Gordon,PF,2012-13,9.1,8.5,9.75,80.0,80.75,103.5,239.0,83.5,11.35,,3.49,29.0,34.0,10.0
859,JaMychal Green,PF,2012-13,9.8,9.25,9.25,80.0,81.0,106.5,217.4,86.25,10.63,,3.38,29.5,32.5,19.0
860,Draymond Green,PF-SF,2012-13,11.3,9.0,9.5,77.75,79.5,105.0,235.6,85.25,11.01,,3.4,28.0,33.0,9.0
861,Maurice Harkless,SF,2012-13,5.3,9.25,10.25,79.25,80.75,102.5,206.6,84.0,10.87,,3.25,32.5,37.0,5.0
862,John Henson,PF,2012-13,8.6,9.25,10.0,81.0,82.5,112.0,216.0,89.0,,,,25.5,30.0,5.0
863,Tu Holloway,PG,2012-13,8.5,8.75,10.0,70.5,71.75,94.5,186.8,77.5,11.0,,3.42,28.0,35.0,12.0
864,Robbie Hummel,SF,2012-13,9.4,8.5,9.5,79.25,80.5,102.0,218.0,80.5,11.56,,3.41,27.5,30.0,13.0
865,Bernard James,PF,2012-13,5.0,9.0,9.25,80.75,82.0,108.5,229.8,87.0,11.84,,3.4,30.0,32.5,6.0
866,John Jenkins,SG,2012-13,7.1,9.0,9.0,75.25,76.25,98.0,212.0,80.5,11.36,,3.37,30.5,36.5,10.0
867,Orlando Johnson,SG,2012-13,7.0,9.0,9.5,75.75,77.25,99.0,223.8,83.25,10.98,,3.25,32.0,39.5,13.0
868,Darius Johnson-Odom,SG,2012-13,7.0,8.75,8.75,73.5,75.0,96.0,212.0,79.0,10.76,,3.21,33.5,41.5,17.0
869,Terrence Jones,PF-SF,2012-13,7.7,9.0,10.0,80.25,81.5,107.0,252.0,86.25,11.57,,3.4,29.5,34.5,12.0
870,Kevin Jones,PF,2012-13,11.2,9.0,7.75,78.25,79.5,105.0,251.2,85.5,11.94,,3.6,27.5,32.5,17.0
871,Perry Jones,PF-SF,2012-13,4.6,9.25,9.5,82.25,83.25,107.0,233.8,85.75,11.31,,3.19,33.0,38.5,11.0
872,Kris Joseph,SG,2012-13,8.6,9.0,9.0,78.0,79.0,104.0,215.0,83.0,,,3.46,28.5,35.0,6.0
873,Michael Kidd-Gilchrist,SF,2012-13,7.0,9.0,10.25,77.75,79.5,104.5,232.8,84.0,11.77,,3.18,32.0,35.5,6.0
874,Doron Lamb,SG-PG,2012-13,6.7,8.5,8.75,75.25,76.75,98.5,199.4,78.75,11.12,,3.41,29.0,33.5,2.0
875,Jeremy Lamb,SG,2012-13,4.5,8.75,9.25,76.0,77.25,102.0,179.2,83.0,10.98,,3.25,31.5,38.0,5.0
876,Meyers Leonard,C,2012-13,5.7,9.25,11.0,83.75,85.25,108.0,249.8,87.0,11.34,,3.41,30.0,32.5,19.0
877,Damian Lillard,PG,2012-13,5.9,8.75,9.75,73.75,74.75,95.5,188.8,79.75,11.15,,3.34,34.5,39.5,13.0
878,Scott Machado,PG,2012-13,5.8,8.5,9.5,73.0,74.0,94.5,205.8,76.0,11.26,,3.3,27.0,32.5,17.0
879,Kendall Marshall,PG,2012-13,7.8,8.5,9.0,75.25,76.25,96.0,198.4,77.5,12.03,,3.23,31.0,37.0,
880,Fab Melo,C,2012-13,9.2,9.0,10.0,82.75,84.0,110.0,255.0,86.5,12.14,,3.44,29.5,31.0,9.0
881,Khris Middleton,SF,2012-13,7.8,9.0,9.0,78.75,80.25,103.0,216.2,82.75,11.45,,3.47,28.0,31.0,4.0
882,Darius Miller,SF-SG,2012-13,7.5,8.5,8.75,78.0,79.5,101.0,233.4,81.0,11.34,,3.31,33.0,37.0,14.0
883,Quincy Miller,SF,2012-13,7.8,9.25,10.25,80.75,82.0,105.0,218.7,85.25,11.05,,3.48,30.5,36.0,8.0
884,Tony Mitchell,SG,2012-13,5.7,8.5,10.0,77.25,78.25,100.0,216.4,82.0,11.72,,3.47,31.5,40.0,14.0
885,Arnett Moultrie,PF,2012-13,7.7,9.25,9.25,81.5,82.75,106.5,232.8,86.25,11.32,,3.22,33.5,37.5,10.0
886,Kevin Murphy,SG,2012-13,5.8,8.5,8.5,77.0,78.25,99.0,194.0,78.75,10.97,,3.42,31.0,36.5,11.0
887,Andrew Nicholson,PF,2012-13,7.6,10.0,10.75,80.5,81.5,107.0,234.0,88.0,11.89,,3.67,28.5,30.5,10.0
888,Kyle O'Quinn,PF,2012-13,8.0,9.5,10.0,80.5,82.0,106.5,240.8,88.75,11.65,,3.53,31.5,31.5,
889,Miles Plumlee,PF-C,2012-13,11.4,9.25,9.0,82.5,83.75,105.5,252.4,84.75,10.64,,3.36,34.0,40.5,15.0
890,Austin Rivers,SG-PG,2012-13,6.2,8.5,10.0,75.5,77.0,96.5,202.8,79.25,11.54,,3.32,32.5,37.5,1.0
891,Thomas Robinson,PF,2012-13,5.0,9.75,10.5,79.75,80.75,106.0,244.2,87.25,11.96,,3.17,28.5,35.5,15.0
892,Terrence Ross,SG-SF,2012-13,3.2,8.75,10.25,78.0,79.0,100.5,196.6,79.25,11.78,,3.28,31.0,37.5,2.0
893,Tomas Satoransky,PG-SG,2012-13,5.2,8.5,9.5,78.5,79.5,100.0,200.6,79.25,,,,,,
894,Mike Scott,PF,2012-13,10.6,8.5,9.0,79.25,80.75,104.0,240.8,82.75,11.59,,3.44,27.0,32.5,14.0
895,Henry Sims,C-PF,2012-13,7.7,9.25,10.0,82.0,83.75,108.0,241.2,88.0,12.33,,3.44,26.5,29.5,7.0
896,Jared Sullinger,PF,2012-13,10.7,9.25,9.75,79.75,81.0,105.5,268.2,85.25,12.77,,3.81,29.5,31.0,9.0
897,Tyshawn Taylor,PG,2012-13,4.2,8.75,8.75,74.75,76.0,97.5,177.0,78.25,11.48,,3.2,32.0,36.5,
898,Jordan Taylor,PG,2012-13,5.5,8.25,9.5,73.0,74.0,92.5,192.8,75.0,10.57,,3.19,33.0,36.5,14.0
899,Jeff Taylor,SF-SG,2012-13,4.2,8.25,9.75,78.0,79.25,101.5,212.8,78.25,10.87,,3.29,33.5,40.0,15.0
900,Marquis Teague,PG,2012-13,6.3,8.25,7.75,73.0,74.0,96.5,179.8,79.25,10.65,,3.19,32.5,40.5,8.0
901,Hollis Thompson,SF,2012-13,6.0,8.25,9.75,78.75,80.0,102.5,206.0,81.5,11.72,,3.38,28.5,36.5,6.0
902,Dion Waiters,SG,2012-13,8.5,8.5,9.5,74.5,76.0,98.0,221.0,79.25,,,,,,
903,Royce White,PF,2012-13,10.6,9.5,11.5,79.0,80.0,104.5,260.6,84.0,,,,,,
904,Tony Wroten,PG,2012-13,5.2,8.0,9.0,76.75,78.0,101.0,203.2,81.0,10.75,,3.24,30.0,35.5,
905,Tyler Zeller,PF-C,2012-13,6.4,9.0,9.75,83.25,84.5,104.5,247.4,84.0,11.13,,3.4,30.0,34.0,16.0
906,Steven Adams,C,2013-14,6.65,9.5,11.0,82.75,84.0,109.5,254.5,88.5,11.85,3.02,3.4,28.5,33.0,16.0
907,Vander Blue,SG,2013-14,4.6,8.5,9.5,75.5,77.25,100.5,197.4,78.0,10.4,2.7,3.14,28.0,37.5,4.0
908,Lorenzo Brown,PG,2013-14,3.95,8.25,8.5,76.0,77.25,100.0,189.2,79.0,11.78,3.24,3.4,28.0,34.0,8.0
909,Reggie Bullock,SG-SF,2013-14,6.95,8.5,9.0,77.75,79.0,102.0,199.8,80.75,11.33,3.3,3.31,31.0,36.5,11.0
910,Trey Burke,PG,2013-14,6.9,8.25,8.75,71.75,73.25,97.5,187.0,77.5,11.2,3.01,3.16,29.5,36.5,3.0
911,Kentavious Caldwell-Pope,SG,2013-14,6.45,8.5,9.0,76.5,77.5,100.5,203.6,80.0,10.6,3.2,3.12,29.0,34.5,7.0
912,Isaiah Canaan,PG,2013-14,5.9,8.25,9.5,71.0,72.0,94.5,188.4,76.5,10.98,2.89,3.22,33.0,40.5,16.0
913,Jackie Carmichael,PF,2013-14,5.8,9.0,10.25,79.5,81.0,107.0,241.2,85.5,11.83,3.07,3.35,30.0,32.0,13.0
914,Michael Carter-Williams,PG,2013-14,4.4,7.5,8.5,76.75,77.75,101.0,184.4,79.25,10.68,3.7,3.22,31.5,41.0,8.0
915,Will Clyburn,SF-SG,2013-14,6.85,9.25,10.25,77.75,79.0,105.0,210.4,84.25,11.68,3.12,3.38,28.0,34.5,3.0
916,Robert Covington,SF-PF,2013-14,4.7,9.0,8.5,78.25,79.5,106.0,208.6,85.75,11.69,3.1,3.34,29.5,36.0,9.0
917,Allen Crabbe,SG,2013-14,4.65,8.25,8.5,77.25,78.25,103.5,197.4,83.25,10.67,3.1,3.32,30.5,36.0,10.0
918,Seth Curry,SG,2013-14,9.6,8.0,8.25,73.0,75.0,97.5,179.2,76.0,,,,,,
919,Brandon Davies,PF,2013-14,8.6,9.0,11.0,80.5,82.25,108.5,241.8,85.5,11.22,3.14,3.5,26.0,31.5,7.0
920,Dewayne Dedmon,C,2013-14,8.35,9.0,11.0,82.0,83.5,109.0,238.8,88.0,12.75,3.26,3.4,28.0,32.5,8.0
921,Gorgui Dieng,C,2013-14,5.35,9.0,10.0,81.75,82.75,111.5,229.6,87.5,,,,,,
922,James Ennis,SF,2013-14,4.5,8.5,8.75,77.75,79.0,104.5,200.8,83.5,11.55,3.06,3.4,29.5,36.5,7.0
923,Carrick Felix,SF-SG,2013-14,3.3,8.5,9.5,76.75,78.25,103.5,202.6,81.25,11.16,3.09,3.25,32.0,38.5,15.0
924,Jamaal Franklin,SG-SF,2013-14,8.25,8.5,8.25,76.0,77.25,103.5,190.8,83.25,,,,,,
925,Rudy Gobert,C,2013-14,4.4,9.75,10.0,84.5,86.0,115.0,237.6,92.5,12.85,3.19,3.57,25.0,29.0,7.0
926,Archie Goodwin,SG,2013-14,4.55,8.5,9.0,75.75,77.25,102.0,189.0,81.5,10.75,3.41,3.27,30.0,36.0,1.0
927,Erick Green,PG,2013-14,4.35,8.5,9.0,73.5,75.0,98.0,178.2,77.75,,,,,,5.0
928,Tim Hardaway Jr.,SG,2013-14,6.05,8.0,9.25,76.5,78.25,101.0,199.4,79.0,10.68,2.93,3.25,31.5,37.5,16.0
929,Solomon Hill,SF,2013-14,7.6,9.0,10.5,77.5,79.0,103.0,226.0,81.0,10.77,2.91,3.19,29.5,37.5,14.0
930,Richard Howell,PF,2013-14,8.75,8.75,9.5,78.25,79.5,105.5,249.6,82.25,,,,,,
931,Colton Iverson,C,2013-14,9.6,9.25,9.5,82.5,84.0,110.0,262.8,86.0,11.52,3.04,3.52,26.5,30.0,12.0
932,Pierre Jackson,PG,2013-14,4.5,7.5,8.25,69.5,70.5,90.0,176.0,70.0,,,,,,
933,Grant Jerrett,PF,2013-14,10.05,8.5,9.25,80.75,82.25,109.0,232.0,86.0,11.85,3.23,3.51,28.5,34.0,2.0
934,Myck Kabongo,PG,2013-14,6.0,8.25,9.0,73.25,74.75,98.0,180.4,78.25,10.64,2.86,3.44,27.5,33.5,2.0
935,Kenny Kadji,PF-C,2013-14,7.45,9.0,10.25,80.75,82.0,106.5,241.6,87.0,11.47,2.88,3.44,34.0,38.0,9.0
936,Ryan Kelly,PF,2013-14,14.75,9.0,10.0,81.75,83.75,110.0,228.0,83.5,,,,,,
937,Shane Larkin,PG,2013-14,3.8,7.5,8.75,70.25,71.5,89.5,170.8,70.75,10.64,3.03,3.08,34.5,44.0,12.0
938,Ricky Ledo,SG,2013-14,10.25,8.5,9.25,76.75,78.0,102.5,197.2,79.25,10.72,3.16,3.32,27.0,33.5,4.0
939,Alex Len,C,2013-14,6.4,9.0,10.75,,,,,87.5,,,,,,
940,CJ Leslie,PF-SF,2013-14,7.95,8.75,9.0,79.5,80.75,104.5,209.2,86.25,10.19,2.79,3.1,32.5,40.5,
941,Trevor Mbakwe,PF,2013-14,5.9,9.5,11.5,78.75,80.0,106.5,235.8,88.0,12.01,2.97,3.32,30.0,36.5,21.0
942,Ray McCallum,PG,2013-14,7.3,8.0,8.75,72.25,73.75,96.5,191.4,75.25,10.82,3.08,3.25,30.5,40.0,5.0
943,CJ McCollum,PG-SG,2013-14,8.6,8.0,9.5,74.25,75.25,96.5,197.0,78.25,11.02,2.91,3.32,32.0,38.5,13.0
944,Ben McLemore,SG,2013-14,5.0,8.75,9.5,75.5,76.75,100.5,189.2,79.75,11.87,3.11,3.27,32.5,42.0,6.0
945,Tony Mitchell,PF-SF,2013-14,5.55,9.0,10.0,79.5,80.75,106.5,236.4,86.5,11.82,3.25,3.52,33.5,38.0,13.0
946,Shabazz Muhammad,SF-SG,2013-14,9.0,9.0,10.0,76.75,78.25,104.5,221.8,83.0,10.99,2.93,3.32,29.5,37.0,10.0
947,Erik Murphy,PF,2013-14,7.95,8.75,9.75,80.75,81.5,108.0,239.8,82.5,12.19,2.96,3.57,24.5,29.5,13.0
948,Mike Muscala,C-PF,2013-14,6.8,8.5,9.0,82.25,83.5,108.0,230.2,85.0,11.76,2.99,3.44,28.0,33.5,5.0
949,Nerlens Noel,C,2013-14,4.15,9.5,10.0,82.0,83.75,110.0,206.4,87.75,,,,,,
950,Victor Oladipo,SG,2013-14,6.55,8.75,9.25,75.25,76.25,100.5,213.2,81.25,10.69,3.14,3.25,33.0,42.0,15.0
951,Kelly Olynyk,PF-C,2013-14,6.65,8.5,10.0,82.75,84.0,108.0,234.0,81.75,11.42,2.99,3.59,24.5,29.5,5.0
952,Brandon Paul,SG,2013-14,5.25,8.5,9.5,74.75,76.0,98.0,201.0,82.25,11.16,2.9,3.37,33.5,39.5,15.0
953,Norvel Pelle,PF-C,2013-14,5.15,8.75,9.5,81.5,82.5,109.0,207.2,86.5,11.49,3.2,3.32,31.0,34.5,
954,Mason Plumlee,C-PF,2013-14,6.15,9.75,9.5,83.25,84.5,108.0,238.2,83.0,10.89,2.76,3.29,30.5,36.0,14.0
955,Otto Porter,SF,2013-14,6.65,8.75,9.25,79.5,80.5,105.5,197.6,85.5,11.25,3.06,3.4,27.0,36.0,9.0
956,Phil Pressey,PG,2013-14,4.7,7.75,9.75,69.5,71.5,92.0,177.0,74.25,10.86,3.02,3.13,33.0,38.5,7.0
957,Glen Rice,SF-SG,2013-14,8.45,8.5,9.0,76.5,77.75,101.5,210.8,81.25,10.99,3.08,3.25,33.0,40.5,10.0
958,Andre Roberson,PF-SF,2013-14,7.05,8.75,9.5,78.25,79.0,104.5,205.8,83.0,11.36,3.02,3.34,30.0,36.5,10.0
959,Dennis Schroder,PG,2013-14,4.1,8.75,10.5,73.0,74.0,98.0,164.8,79.75,11.09,2.86,3.21,30.0,34.0,1.0
960,Peyton Siva,PG,2013-14,6.05,8.0,9.75,71.5,73.0,93.0,180.6,75.0,10.59,2.93,3.16,33.5,41.5,15.0
961,Tony Snell,SF-SG,2013-14,4.85,9.0,9.5,78.0,79.25,105.5,198.2,83.5,11.36,2.84,3.25,30.0,36.5,7.0
962,James Southerland,SF-PF,2013-14,8.05,8.0,9.5,79.0,80.0,106.0,220.6,85.0,10.9,3.03,3.38,29.0,32.0,5.0
963,Adonis Thomas,SF,2013-14,7.5,9.25,9.5,76.75,77.75,99.0,231.8,85.0,11.64,3.11,3.32,34.5,40.5,13.0
964,Deshaun Thomas,SF,2013-14,9.1,8.0,8.75,77.0,79.0,104.0,219.8,82.0,12.94,3.38,3.53,28.5,32.0,5.0
965,Jeff Withey,C,2013-14,8.65,9.0,9.75,82.75,84.5,110.5,221.8,86.0,12.49,3.29,3.47,26.5,29.0,10.0
966,Nate Wolters,PG,2013-14,5.5,8.25,8.75,75.5,76.75,98.0,196.4,75.75,,,,,,8.0
967,BJ Young,SG-PG,2013-14,4.7,8.5,9.5,74.25,75.5,99.0,178.8,80.25,,,,,,
968,Cody Zeller,C-PF,2013-14,4.75,8.5,10.5,82.75,84.25,106.0,230.0,82.75,10.82,2.69,3.15,35.5,37.5,17.0
969,Jordan Adams,SG,2014-15,10.8,8.5,7.5,75.5,76.75,102.0,208.8,82.0,12.13,3.05,3.5,24.5,29.5,
970,Kyle Anderson,SF,2014-15,13.35,8.25,8.75,79.5,80.5,107.5,230.1,86.75,,,,,,
971,Thanasis Antetokounmpo,SF,2014-15,6.05,9.0,9.75,77.25,78.25,104.5,205.2,84.0,11.39,3.05,3.18,31.5,39.5,
972,Jordan Bachynski,PF,2014-15,7.45,9.25,10.0,85.25,86.0,108.5,254.1,88.0,12.15,3.03,3.36,29.0,33.0,
973,Cameron Bairstow,PF,2014-15,8.7,8.75,9.0,80.75,81.75,107.0,252.4,84.75,11.39,3.09,3.37,31.0,33.5,
974,Khem Birch,PF,2014-15,6.0,9.0,8.5,79.5,81.25,107.0,208.8,85.0,11.6,3.24,3.26,30.5,35.5,
975,Alec Brown,PF,2014-15,7.7,9.25,8.75,84.25,85.25,109.0,231.2,85.5,12.05,2.91,3.48,27.0,30.0,
976,Markel Brown,SG,2014-15,4.2,8.25,9.75,74.5,75.5,100.0,184.4,80.75,12.62,2.9,3.18,36.5,43.5,
977,Jabari Brown,SG,2014-15,6.05,9.0,9.25,75.0,76.25,100.0,201.9,80.25,11.6,3.26,3.5,28.0,32.0,
978,Deonte Burton,PG,2014-15,7.65,8.25,8.0,72.0,73.25,97.5,192.8,79.0,11.28,3.08,3.28,29.0,39.5,
979,Semaj Christon,PG,2014-15,5.25,8.5,8.25,73.5,75.25,99.0,186.0,78.5,11.55,3.21,3.32,30.5,36.5,
980,Jordan Clarkson,PG,2014-15,4.3,8.25,9.0,75.25,77.0,98.0,186.3,80.0,10.76,2.98,3.28,33.0,38.5,
981,Aaron Craft,PG,2014-15,6.1,7.75,8.5,72.75,73.75,94.5,191.6,74.0,10.78,2.9,3.26,29.0,32.0,
982,DeAndre Daniels,SF,2014-15,3.85,9.25,10.5,79.25,80.5,106.5,196.0,86.0,11.46,3.04,3.44,26.5,32.0,
983,Spencer Dinwiddie,PG,2014-15,5.35,8.25,9.0,76.5,78.0,103.0,204.9,80.25,,,,,,
984,Cleanthony Early,SF,2014-15,4.45,8.5,9.0,78.0,79.25,101.5,209.4,82.75,11.15,2.96,3.18,34.0,40.0,
985,Melvin Ejim,SF,2014-15,6.45,8.75,9.25,77.25,79.0,103.5,218.5,83.25,11.55,3.12,3.14,29.5,35.0,
986,Tyler Ennis,PG,2014-15,6.2,8.25,8.75,73.0,74.5,98.0,181.5,79.25,11.12,2.84,3.3,29.0,36.0,
987,Dante Exum,SG,2014-15,6.4,8.5,9.5,76.5,78.0,103.0,196.3,81.5,10.75,2.88,3.19,31.5,34.5,
988,C.J. Fair,SF,2014-15,5.05,9.0,9.0,78.5,80.0,104.0,218.1,81.5,11.0,3.06,3.32,27.0,35.0,
989,Aaron Gordon,PF,2014-15,5.05,8.75,10.5,79.5,80.75,105.0,220.1,83.75,10.81,2.76,3.27,32.5,39.0,
990,Jerami Grant,SF,2014-15,3.75,9.25,9.25,78.5,79.75,107.0,214.0,86.75,,,,,,
991,P.J. Hairston,SG,2014-15,8.2,8.75,9.75,76.25,77.25,101.0,228.8,81.0,11.12,,3.32,32.0,37.0,
992,Gary Harris,SG,2014-15,4.55,8.5,9.5,74.5,76.5,96.0,204.8,78.75,,,,,,
993,Joe Harris,SG,2014-15,6.2,8.5,9.75,76.75,78.25,100.0,215.0,78.0,11.11,2.92,3.31,28.5,33.5,
994,Rodney Hood,SF,2014-15,7.45,8.5,8.5,79.25,80.5,103.0,208.2,80.5,11.21,3.14,3.38,29.0,36.0,
995,Cory Jefferson,PF,2014-15,5.25,8.75,9.75,79.75,81.0,105.0,218.4,84.5,12.63,3.39,3.36,33.0,37.5,
996,Nick Johnson,SG,2014-15,6.05,8.75,9.75,73.5,75.0,96.5,198.0,79.25,10.8,2.95,3.27,33.5,41.5,
997,Sean Kilpatrick,SG,2014-15,9.2,9.0,9.0,74.5,76.25,99.0,218.7,79.0,,,,,,
998,Alex Kirk,PF,2014-15,13.6,9.25,10.5,81.25,82.75,109.5,252.0,87.5,11.2,3.19,3.48,28.5,31.5,
999,Zach LaVine,PG,2014-15,4.7,8.25,8.75,76.5,77.75,100.0,180.9,80.25,10.42,2.8,3.19,33.5,41.5,
1000,Devyn Marble,SG,2014-15,6.9,8.25,8.5,77.0,78.5,102.0,192.4,81.0,11.32,3.08,3.28,29.0,35.0,
1001,James McAdoo,PF,2014-15,6.15,9.25,9.0,79.5,80.75,106.5,227.6,86.25,11.61,2.91,3.28,29.5,34.0,
1002,K.J. McDaniels,SF,2014-15,4.45,8.75,9.75,76.5,78.0,102.0,195.6,83.25,12.71,3.2,3.1,33.0,37.0,
1003,Doug McDermott,SF,2014-15,7.1,8.75,9.75,78.25,79.75,103.0,218.0,81.25,11.1,3.15,3.29,28.5,36.5,
1004,Jordan McRae,SG,2014-15,5.2,8.75,8.5,75.75,77.25,104.0,179.4,84.5,11.07,3.15,3.39,27.5,34.5,
1005,Shabazz Napier,PG,2014-15,7.35,8.25,8.5,71.0,73.0,93.0,175.2,75.25,11.6,3.13,3.2,30.5,37.5,
1006,Johnny O?Bryant III,PF,2014-15,10.75,9.25,9.5,79.25,80.5,105.0,256.8,86.25,11.57,3.32,3.45,31.0,35.5,
1007,Lamar Patterson,SG,2014-15,10.75,9.0,9.25,76.0,77.25,101.0,226.0,83.0,11.63,3.13,3.45,27.5,32.5,
1008,Adreian Payne,PF,2014-15,7.55,9.25,9.5,81.0,81.75,109.0,238.5,88.0,,,,,,
1009,Elfrid Payton,PG,2014-15,5.65,8.75,9.0,74.5,75.75,98.5,185.4,80.0,11.06,2.92,3.23,31.5,35.5,
1010,Dwight Powell,PF,2014-15,6.2,9.0,9.25,81.5,83.0,105.0,234.4,84.5,11.28,2.88,3.2,28.5,35.0,
1011,Julius Randle,PF,2014-15,9.4,8.75,8.25,79.75,81.0,105.5,249.7,84.0,11.45,3.14,3.27,29.0,35.5,
1012,Glenn Robinson III,SF,2014-15,5.05,9.0,9.5,77.5,78.75,100.5,211.4,82.0,11.22,3.04,3.15,36.5,41.5,
1013,LaQuinton Ross,SF,2014-15,16.3,8.75,9.75,78.5,79.5,106.0,238.7,85.75,11.97,3.52,3.44,25.0,31.0,
1014,Marcus Smart,PG,2014-15,10.55,9.0,8.75,74.0,75.25,99.0,227.2,81.25,10.82,2.96,3.26,33.0,36.0,
1015,Russ Smith,PG,2014-15,3.5,8.25,8.5,71.5,72.75,95.0,160.0,75.5,11.57,3.01,3.27,29.5,34.0,
1016,Nik Stauskas,SG,2014-15,12.05,8.5,8.5,77.25,78.5,102.0,206.9,79.75,10.79,2.92,3.27,29.0,35.5,
1017,Jarnell Stokes,PF,2014-15,8.2,9.75,10.5,79.0,80.5,103.5,262.8,85.25,11.92,3.2,3.26,31.0,36.0,
1018,Xavier Thames,PG,2014-15,6.4,8.25,9.0,74.25,75.5,96.0,187.0,76.0,11.48,3.02,3.48,29.0,32.5,
1019,Noah Vonleh,PF,2014-15,7.3,9.75,11.75,80.0,81.5,108.0,247.1,88.25,11.45,3.29,3.28,31.0,37.0,
1020,T.J. Warren,SF,2014-15,7.95,8.75,9.0,79.0,80.25,104.0,220.2,82.25,11.1,3.04,3.26,27.0,35.5,
1021,C.J. Wilcox,SG,2014-15,6.5,8.75,9.0,75.5,77.0,100.5,201.0,81.75,11.3,2.92,3.22,31.0,37.5,
1022,Kendall Williams,PG,2014-15,7.2,8.0,7.75,74.25,75.75,99.0,183.0,77.5,10.83,2.85,,27.0,33.0,
1023,Patric Young,PF,2014-15,5.45,9.25,9.5,80.5,82.0,103.5,246.8,85.75,11.18,3.06,3.43,32.0,37.5,
1024,James Young,SG,2014-15,5.1,9.0,9.5,77.25,78.75,104.0,213.3,84.0,,,,28.0,35.5,
1025,Cliff Alexander,PF-C,2015-16,5.8,9.5,10.25,79.25,80.5,109.5,239.2,87.5,,,,,,
1026,Justin Anderson,SF-SG,2015-16,5.0,8.5,9.5,77.25,78.25,101.0,230.6,83.75,11.13,2.88,3.22,38.0,43.0,12.0
1027,Brandon Ashley,PF,2015-16,8.8,9.0,9.5,79.25,80.5,105.0,228.0,87.75,11.21,3.35,3.58,31.5,35.5,9.0
1028,Ryan Boatright,PG,2015-16,6.6,7.5,8.75,70.0,71.0,92.5,169.6,72.5,10.71,3.05,3.26,32.0,41.0,10.0
1029,Devin Booker,SG,2015-16,8.3,8.75,9.0,76.5,77.75,102.5,205.8,80.25,10.27,2.75,3.28,27.5,34.5,8.0
1030,Anthony Brown,SF-SG,2015-16,6.1,8.5,9.0,77.75,79.25,104.5,211.0,83.0,10.94,3.29,3.18,27.5,34.5,4.0
1031,Willie Cauley-Stein,C,2015-16,6.3,9.5,9.0,83.25,84.5,111.0,242.4,87.0,,,,,,
1032,Rakeem Christmas,PF-C,2015-16,9.6,9.25,9.0,80.25,81.75,110.5,242.6,89.25,11.6,3.3,3.47,29.0,32.0,9.0
1033,Pat Connaughton,SG,2015-16,10.2,8.5,9.25,76.0,77.25,96.0,215.0,80.0,10.58,3.08,3.2,37.5,44.0,13.0
1034,Quinn Cook,PG,2015-16,6.7,7.5,8.75,72.25,74.0,96.5,179.0,76.0,11.44,3.41,3.38,24.5,31.0,14.0
1035,Branden Dawson,PF,2015-16,5.8,9.0,8.75,77.5,78.75,105.0,230.2,83.0,12.22,3.53,3.2,28.5,34.5,12.0
1036,Sam Dekker,SF,2015-16,7.5,8.5,9.25,79.75,81.0,106.0,218.6,83.5,10.64,2.96,3.28,25.5,34.5,5.0
1037,Michael Frazier II,SG,2015-16,7.4,8.25,9.25,75.75,76.25,101.5,199.4,80.0,10.66,3.02,3.32,27.0,35.0,10.0
1038,Treveon Graham,SF,2015-16,5.5,8.5,8.25,76.0,77.75,103.0,219.4,82.5,11.64,3.15,3.3,28.5,31.5,11.0
1039,Jerian Grant,PG,2015-16,5.6,8.25,8.5,75.25,76.25,100.0,198.0,79.5,,,,,,
1040,Olivier Hanlan,PG-SG,2015-16,4.3,8.0,8.75,75.25,76.25,100.0,185.8,78.0,11.41,3.12,3.25,28.0,34.0,19.0
1041,Montrezl Harrell,PF,2015-16,11.9,9.0,9.75,79.0,79.5,109.0,253.4,88.25,,,,,,
1042,Andrew Harrison,PG,2015-16,5.9,8.25,9.25,76.5,77.5,100.0,213.2,81.0,11.2,,3.34,26.5,33.0,
1043,Aaron Harrison,SG,2015-16,6.0,8.75,10.0,76.5,78.0,100.5,209.2,80.25,,,3.27,28.5,34.5,1.0
1044,Tyler Harvey,SG,2015-16,9.2,7.75,8.75,74.75,76.0,98.5,181.4,77.5,10.56,2.93,3.44,26.0,28.5,1.0
1045,Corey Hawkins,SG-PG,2015-16,5.5,8.75,9.0,72.75,73.75,99.5,191.8,80.0,10.81,,3.51,28.5,34.0,9.0
1046,Rondae Hollis-Jefferson,SF,2015-16,5.0,8.75,9.75,77.5,79.0,104.0,210.8,86.0,10.41,3.19,3.12,32.0,38.0,13.0
1047,Richaun Holmes,PF,2015-16,8.8,8.5,8.5,80.25,81.5,108.0,242.8,85.5,11.24,3.31,3.32,32.5,36.0,15.0
1048,Jonathan Holmes,PF-SF,2015-16,7.2,8.25,9.5,80.25,81.25,107.5,242.2,83.5,10.95,3.12,3.51,25.5,31.0,
1049,R.J. Hunter,SG,2015-16,6.0,8.5,8.25,76.5,78.0,104.0,185.0,82.5,10.87,2.91,3.26,27.5,33.5,1.0
