,player,pos,year,bodyfat%,hand_len_in,hand_width_in,height_wo_shoes,height_w_shoes,standing_reach,weight_lbs,wingspan,lane_agility_s,shuttle_run_s,three_q_sprint_s,standing_vert_in,max_vert_in,max_bench_reps
207,Brooks Sales,PF-C,2002-03,,,,81.0,,108.0,232.0,82.0,11.05,,3.29,26.0,29.5,13.0
208,John Salmons,SF-SG,2002-03,,,,77.5,,104.0,207.0,82.25,11.35,,3.25,30.5,34.5,12.0
209,Predrag Savovic,SG,2002-03,,,,76.75,,102.0,212.0,79.0,10.94,,3.38,22.5,28.5,13.0
210,Julian Sensley,PF-SF,2002-03,,,,79.0,,105.5,228.0,83.5,11.85,,3.32,27.5,31.5,8.0
211,Israel Sheinfeld,PF-C,2002-03,,,,80.25,,106.5,239.0,81.75,,,,,,8.0
212,Preston Shumpert,SF,2002-03,,,,78.0,,103.5,197.0,80.5,11.03,,3.24,28.5,29.0,9.0
213,Tamar Slay,SF,2002-03,,,,78.75,,104.0,203.0,83.5,10.94,,3.09,32.5,38.0,11.0
214,Darius Songaila,PF,2002-03,,,,80.0,,108.5,240.0,85.0,11.69,,3.52,24.5,29.5,8.0
215,Amar'e Stoudemire,PF,2002-03,,,,80.5,,108.5,233.0,85.75,11.19,,3.25,32.0,35.5,12.0
216,Marcus Taylor,PG,2002-03,,,,73.0,,98.5,181.0,76.5,11.25,,3.31,27.5,33.5,4.0
217,Jobey Thomas,SG,2002-03,,,,74.75,,99.5,183.0,77.75,11.46,,3.3,26.0,32.0,13.0
218,Dajuan Wagner,PG-SG,2002-03,,,,72.75,,99.0,193.0,74.0,12.03,,3.22,28.0,35.0,16.0
219,Chris Wilcox,PF-C,2002-03,,,,80.25,,107.5,218.0,85.0,11.43,,3.16,31.0,34.5,20.0
220,Frank Williams,PG,2002-03,,,,73.5,,100.5,212.0,80.0,11.73,,3.29,26.0,31.0,
221,George Williams,PF-SF,2002-03,,,,77.75,,103.0,214.0,84.5,11.21,,3.24,33.5,39.0,11.0
