player,pos,lane_agility_s,shuttle_run_s,three_q_sprint_s,standing_vert_in,max_vert_in,max_bench_reps,year
Tony Bobbitt,SG,-,-,-,-,-,1,2004-05
Brian Boddicker,SF-PF,10.93,-,3.25,28.0,30.0,16,2004-05
Tim Bowers,PG-SG,11.24,-,3.21,37.0,43.5,13,2004-05
Andre Brown,PF-C,11.70,-,3.22,32.0,35.5,18,2004-05
Antonio Burks,PG,-,-,-,-,-,9,2004-05
Jackie Butler,C,13.32,-,3.40,23.0,25.0,14,2004-05
Aleksandar Capin,PG,11.50,-,3.27,23.0,29.0,4,2004-05
Ales Chan,C,12.90,-,3.62,21.0,29.0,2,2004-05
Josh Childress,SG-SF,11.95,-,3.38,29.0,36.0,11,2004-05
TJ Cummings,SF,11.58,-,3.12,27.0,31.0,6,2004-05
Erik Daniels,SF-PF,11.38,-,3.19,31.0,32.0,4,2004-05
Luol Deng,SF,11.46,-,3.34,27.5,31.5,5,2004-05
Marcus Douthit,C-PF,11.64,-,3.34,25.5,31.5,1,2004-05
Chris Duhon,PG,10.45,-,3.14,31.5,35.0,7,2004-05
John Edwards,C,-,-,-,-,-,15,2004-05
Andre Emmett,SG-SF,-,-,-,-,-,-,2004-05
Desmon Farmer,SG,10.89,-,3.20,24.0,31.0,12,2004-05
Luis Flores,PG-SG,10.97,-,3.10,29.0,32.0,15,2004-05
Matt Freije,SF-PF,11.15,-,3.25,29.5,31.0,13,2004-05
Chris Garnett,C-PF,11.75,-,3.36,27.0,31.5,22,2004-05
Ryan Gomes,SF-PF,12.49,-,3.24,26.5,30.5,9,2004-05
Ben Gordon,PG-SG,11.28,-,3.19,31.5,37.5,12,2004-05
Devin Harris,PG,11.03,-,3.19,30.5,37.0,5,2004-05
Dwight Howard,PF-C,11.21,-,3.14,30.5,35.5,7,2004-05
Rolando Howell,PF,11.91,-,3.28,28.5,34.5,-,2004-05
Kris Humphries,PF,11.33,-,3.20,29.5,36.0,22,2004-05
Andre Iguodala,SG-SF,11.17,-,3.18,30.5,34.5,4,2004-05
Martin Iti,C-PF,12.28,-,3.41,26.5,32.5,13,2004-05
Luke Jackson,SF-SG,11.10,-,3.24,26.5,36.0,13,2004-05
Al Jefferson,PF-SF,13.08,-,3.29,28.5,30.0,3,2004-05
Arthur Johnson,PF-C,11.81,-,3.38,26.5,28.5,14,2004-05
Ivan Koljevic,PG,11.07,-,3.28,26.0,28.5,4,2004-05
Herve Lamizana,SF-PF,-,-,-,-,-,-,2004-05
Sergei Lishouk,PF-SF,-,-,-,-,-,-,2004-05
Shaun Livingston,PG-SG,10.72,-,3.23,26.5,30.0,-,2004-05
Jaime Lloreda,PF,12.93,-,3.23,25.5,29.5,6,2004-05
Bryant Matthews,SF-SG,11.08,-,3.13,29.0,34.5,13,2004-05
Marcus Melvin,SF-PF,11.81,-,3.33,25.0,30.5,11,2004-05
Rich Melzer,PF-SF,11.74,-,3.39,24.5,28.5,8,2004-05
Ricky Minard,PG-SG,10.94,-,3.10,27.5,33.0,13,2004-05
James Moore,PF-SF,11.01,-,3.21,28.5,32.5,-,2004-05
Marcus Moore,PG-SG,11.31,-,3.34,25.0,30.0,-,2004-05
Michel Morandais,SG-SF,11.45,-,3.22,30.5,33.5,16,2004-05
Jameer Nelson,PG,10.95,-,3.14,28.5,33.5,15,2004-05
Misan Nikagbatse,SG-PG,11.27,-,3.32,27.5,32.5,11,2004-05
Emeka Okafor,C-PF,12.32,-,3.15,31.5,34.0,22,2004-05
Randall Orr,PF-SF,11.18,-,3.27,26.5,33.0,6,2004-05
Dylan Page,SF,10.99,-,3.40,26.0,30.0,17,2004-05
Drago Pasalic,PF,12.97,-,3.56,25.5,30.0,8,2004-05
Rickey Paulding,SG,11.14,-,3.17,30.0,36.0,17,2004-05
Kelvin Pena,SG-PG,11.50,-,3.24,27.5,32.5,1,2004-05
Tim Pickett,PG-SG,-,-,-,-,-,-,2004-05
Omar Quintero,PG,11.37,-,3.25,25.0,29.0,2,2004-05
Peter Ramos,C,12.61,-,3.60,24.0,26.5,2,2004-05
Jared Reiner,C-PF,12.65,-,3.56,22.0,26.0,15,2004-05
Lawrence Roberts,PF,12.52,-,3.30,27.5,33.0,18,2004-05
Bernard Robinson,SG-SF,10.91,-,3.17,28.5,34.5,14,2004-05
Nate Robinson,PG,10.75,-,2.96,35.5,43.5,13,2004-05
Aerick Sanders,PF,11.98,-,3.37,24.5,30.5,9,2004-05
Romain Sato,SG,11.27,-,3.18,31.5,35.5,8,2004-05
Blagota Sekulic,SF-PF,10.93,-,3.39,23.5,31.5,8,2004-05
Josh Smith,SG-SF,11.43,-,3.24,32.5,39.5,12,2004-05
