Rk,Player,PTS/G,Draft Team,Round,Pick,Draft Year,Draft College,Season,Team,G,GS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,FT%,TS%,eFG%,Pos,Class,-9999
1299,Devon Hall,8.4,OKC,2,53,2018,Virginia,2016-17,Virginia,34,34,27.4,2.9,7.2,2.0,4.7,0.9,2.5,1.5,2.0,0.6,3.7,4.4,1.9,0.5,0.1,1.0,1.9,8.4,.408,.428,.372,.776,.513,.473,G,JR,devon-hall-1
1300,De'Anthony Melton,8.3,HOU,2,46,2018,Southern California,2016-17,Southern California,36,25,27.0,2.8,6.4,2.2,4.4,0.6,2.1,2.1,3.0,1.4,3.3,4.7,3.5,1.9,1.0,1.8,2.3,8.3,.437,.510,.284,.706,.530,.483,G,FR,deanthony-melton-1
1301,Chris Douglas-Roberts,8.3,NJN,2,40,2008,Memphis,2005-06,Memphis,34,25,22.6,3.0,5.6,2.7,4.8,0.3,0.9,2.1,2.8,1.3,2.0,3.3,1.5,0.8,0.4,2.0,1.9,8.3,.531,.571,.310,.745,.598,.555,G,FR,chris-douglas-roberts-1
1302,J.P. Tokoto,8.3,PHI,2,58,2015,North Carolina,2014-15,North Carolina,38,34,29.1,3.1,7.1,2.7,6.3,0.3,0.8,1.9,3.1,1.6,4.0,5.6,4.3,1.5,0.3,2.2,2.4,8.3,.428,.435,.375,.615,.484,.450,F,JR,jp-tokoto-1
1303,Derrick Caracter,8.3,LAL,2,58,2010,UTEP,2007-08,Louisville,35,12,16.9,3.2,5.7,3.1,5.7,0.0,0.0,1.9,3.1,2.1,2.5,4.5,0.5,0.6,0.9,1.8,3.1,8.3,.552,.550,1.000,.630,.577,.555,F,SO,derrick-caracter-1
1304,Julian Phillips,8.3,BOS,2,35,2023,Tennessee,2022-23,Tennessee,32,25,24.1,2.5,6.0,2.1,4.6,0.3,1.4,3.0,3.7,1.8,2.9,4.7,1.4,0.6,0.5,1.3,1.8,8.3,.411,.466,.239,.822,.536,.440,F,FR,julian-phillips-1
1305,Aaron Wiggins,8.3,OKC,2,55,2021,Maryland,2018-19,Maryland,34,4,23.5,2.9,7.4,1.0,3.0,1.8,4.4,0.8,0.9,1.0,2.3,3.3,0.8,0.8,0.2,0.8,1.7,8.3,.385,.343,.413,.867,.530,.508,G,FR,aaron-wiggins-1
1306,Dariq Whitehead,8.3,NJN,1,22,2023,Duke,2022-23,Duke,28,7,20.6,3.0,7.0,1.5,3.5,1.5,3.5,0.8,1.0,0.5,2.0,2.4,1.0,0.8,0.2,1.4,1.5,8.3,.421,.414,.429,.793,.548,.528,F,FR,dariq-whitehead-1
1307,Saddiq Bey,8.2,NJN,1,19,2020,Villanova,2018-19,Villanova,36,29,29.6,3.0,6.6,1.7,3.0,1.4,3.6,0.8,1.3,2.1,3.0,5.1,1.3,0.9,0.3,0.8,2.2,8.2,.458,.561,.374,.644,.571,.561,F,FR,saddiq-bey-1
1308,Luc Richard Mbah a Moute,8.2,MIL,2,37,2008,UCLA,2006-07,UCLA,35,35,29.9,3.3,6.7,3.0,5.9,0.3,0.9,1.3,2.3,2.5,4.9,7.4,1.9,1.7,0.8,1.9,2.3,8.2,.492,.515,.333,.570,.525,.513,F,SO,luc-richard-mbah-a-moute-1
