Player,2P,3P,FT,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FG%,Pos_G,Pos_F,Pos_C
Ryan Dunn,-0.4545744071127067,-1.028372268342974,-1.3861207838068808,0.6185913899168549,0.49750667115027897,-0.9665036312861186,0.4161596233817627,1.7723376307227419,-1.6706617293167931,-0.2461722198560887,-1.3517721771213353,0.840628968064144,1,0,0
Stephon Castle,-0.2336204432672761,-0.5308237303150435,-0.3894595739192077,0.0711003278811773,-0.6835778812576643,0.3617626913535844,-0.5664339106190911,-0.44238857969328826,-0.6750449491090675,0.4031523389081883,-0.5833872059794696,-0.29215340354104546,1,0,0
Terrence Shannon Jr.,-0.2888589342286336,0.7130476147547826,1.2924062177662408,-0.8048853713759064,-0.7704223336406012,-0.12843083247773454,-0.07513714361866415,-0.5346688384606229,0.036109893896450695,-0.4626137394441813,0.6396255397546667,-0.5455389340316791,1,0,0
Tidjane Salaun,-1.706646868903481,0.3398862112338347,-1.0539003805109897,-0.3668925217473645,-0.9614801288830626,-0.9032528540175614,0.02312220978142131,-0.8115096147626265,-0.8172759177101714,0.4031523389081883,-1.32615934474994,-1.8571816801008452,0,1,0
Trey Alexander,-0.35637264564913085,0.4228109679864469,-0.47251467474318054,-1.3888758371823016,0.150128861618531,0.5936822082157971,-0.23890273196374412,-0.565428924716401,-0.05871075231172165,-0.9676439510949254,-0.13089383323105397,-0.793956125755547,1,0,0
Tristen Newton,-1.1174362986489987,0.5886604802477998,0.7733118376164109,-0.3668925217473645,0.18486664257170568,1.9746575117017955,-0.17339649701874962,-0.688469269739514,0.6761492526014173,-0.5708344992382277,-0.19919472040853672,-1.4472933219542305,1,0,0
Tyler Kolek,-0.6509779307763718,0.3398862112338347,-0.6663099097222667,-1.0603811999608952,-0.26672450981956664,2.97612815157645,1.005715743782275,-0.8935365118548363,0.9369060278960039,-1.3283798177965511,-0.446785434185788,-0.9330697453702965,1,0,0
Tyler Smith,0.1530489934622276,-0.7795979993290086,0.44109143432051995,0.20797309339009665,-0.28409340029615393,0.37757538567072363,-0.02600746691862164,-0.5039087522048447,-0.42614075405713614,0.4031523389081883,-0.2055979285013857,0.3562154538908714,0,1,0
Tyon Grant-Foster,0.7974980546780672,0.5886604802477998,2.7666342573917575,-0.3668925217473645,0.5669822330566283,-0.46049741313766024,1.2022344505824456,0.7880148705378397,0.7472647369019689,0.18671081932009567,1.7217677074461282,-0.6796842148796621,1,0,0
Yves Missi,0.2819388057053954,-1.277146537356939,-0.30640447309523483,1.0565842395453968,-0.6835778812576643,-1.219506740360348,-0.9594713242194327,0.7880148705378397,-1.243968823513482,0.4031523389081883,-0.6858385354650518,1.8243610276160176,0,1,0
Zaccharie Risacher,-1.5593442263398605,-0.03327519228711312,-1.3861207838068808,-0.8048853713759064,-1.44780906222751,-0.9665036312861186,-0.762952617419262,-0.688469269739514,-1.243968823513482,-0.2461722198560887,-1.5310620037211038,-0.23253327871971968,0,1,0
Zach Edey,2.0495705164688416,-1.277146537356939,1.4585164194141864,2.3158136822274544,1.0706800568776633,-0.6660624392604716,-1.7455461514201158,0.9725753880725088,-0.07056333255437698,-0.5708344992382277,1.094253314346937,1.8951599258413423,0,0,1
Zyon Pullin,-0.012666479421845185,0.09111194221986958,1.6869179466801116,-1.0238817961901774,-0.5446267574449649,1.6267782367247305,-0.36991520381892035,-0.9345499597857395,-0.9595068863112748,-0.4626137394441813,0.5435774183619336,-0.709494277290325,1,0,0
